airport,date,hour,temperature_2m,precipitation,snowfall,wind_speed_10m,wind_gusts_10m,cloud_cover
TUN,2016-05-31,15,23.7,0.0,0.0,12.0,25.2,97
TUN,2016-06-01,17,21.4,0.0,0.0,12.9,27.7,72
TUN,2016-06-03,5,17.4,0.0,0.0,8.7,13.3,14
TUN,2016-06-03,8,21.3,0.0,0.0,10.3,21.6,0
TUN,2016-06-04,6,19.1,0.0,0.0,1.1,9.7,76
TUN,2016-06-05,15,24.5,0.2,0.0,10.2,29.2,70
TUN,2016-06-06,13,25.1,0.0,0.0,13.4,31.0,11
TUN,2016-06-12,7,22.6,0.0,0.0,6.4,10.8,89
TUN,2016-06-13,12,27.0,0.0,0.0,22.4,45.7,81
TUN,2016-06-19,18,22.3,0.0,0.0,27.8,52.6,14
TUN,2016-06-29,18,29.4,0.0,0.0,14.7,29.9,100
TUN,2016-07-16,14,26.6,0.0,0.0,18.9,42.5,0
TUN,2016-07-20,13,30.3,0.0,0.0,11.5,27.4,0
TUN,2016-07-30,5,21.2,0.0,0.0,7.9,11.9,51
TUN,2016-07-30,8,24.7,0.0,0.0,4.0,13.0,1
TUN,2016-08-16,8,24.7,0.0,0.0,8.4,18.7,0
TUN,2016-08-24,23,22.9,0.0,0.0,9.5,16.6,0
TUN,2016-04-15,16,23.0,0.0,0.0,16.8,31.0,47
TUN,2016-04-15,18,20.5,0.0,0.0,16.8,30.2,95
TUN,2016-04-16,18,21.7,0.0,0.0,16.3,28.8,97
TUN,2016-04-16,20,18.5,0.0,0.0,16.8,29.5,91
TUN,2016-04-17,0,16.3,0.0,0.0,15.8,28.4,1
TUN,2016-04-17,6,15.2,0.0,0.0,13.9,23.8,8
TUN,2016-04-17,7,16.2,0.0,0.0,14.2,24.8,34
TUN,2016-04-17,8,17.9,0.0,0.0,12.4,25.2,38
TUN,2016-04-17,9,19.7,0.0,0.0,10.2,24.8,57
TUN,2016-04-17,11,22.7,0.0,0.0,3.8,18.0,79
TUN,2016-04-17,12,23.6,0.0,0.0,5.4,17.3,84
TUN,2016-04-17,18,20.3,0.0,0.0,10.3,21.6,73
TUN,2016-04-18,7,15.8,0.0,0.0,12.5,20.9,99
TUN,2016-04-18,13,21.2,0.0,0.0,18.3,37.4,89
TUN,2016-04-18,16,20.7,0.0,0.0,20.3,37.4,82
TUN,2016-04-18,18,19.1,0.0,0.0,17.2,32.4,22
TUN,2016-04-18,20,17.3,0.0,0.0,16.0,28.4,1
TUN,2016-04-19,7,15.3,0.0,0.0,12.0,22.3,96
TUN,2016-04-19,6,14.7,0.0,0.0,11.5,20.2,96
TUN,2016-04-20,4,14.2,0.0,0.0,8.9,15.1,4
TUN,2016-04-20,9,17.7,0.0,0.0,9.5,21.6,0
TUN,2016-04-20,6,14.2,0.0,0.0,8.4,15.1,3
TUN,2016-04-20,7,15.1,0.0,0.0,6.6,14.0,1
TUN,2016-04-20,15,19.7,0.0,0.0,13.7,32.0,0
TUN,2016-04-20,18,18.9,0.0,0.0,11.5,24.1,0
TUN,2016-04-21,12,21.0,0.0,0.0,8.2,23.0,50
TUN,2016-04-21,13,22.1,0.0,0.0,7.9,23.0,19
TUN,2016-04-21,14,22.5,0.0,0.0,12.2,24.5,20
TUN,2016-04-21,18,19.4,0.0,0.0,16.3,32.0,46
TUN,2016-04-22,19,17.5,0.0,0.0,6.9,17.3,98
TUN,2016-04-23,6,13.5,0.0,0.0,5.0,9.0,73
TUN,2016-04-23,7,15.0,0.3,0.0,7.2,13.7,53
TUN,2016-04-23,9,17.5,0.0,0.0,14.9,28.1,66
TUN,2016-04-23,14,20.8,0.0,0.0,15.8,33.1,44
TUN,2016-04-23,18,19.5,0.0,0.0,14.9,31.7,0
TUN,2016-04-24,7,15.4,0.0,0.0,10.4,16.9,76
TUN,2016-04-24,8,16.9,0.0,0.0,12.7,23.0,49
TUN,2016-04-24,9,18.2,0.0,0.0,17.7,33.5,28
TUN,2016-04-24,12,20.6,0.0,0.0,21.7,47.5,21
TUN,2016-01-10,7,13.2,0.0,0.0,9.0,13.0,21
TUN,2016-01-12,6,14.5,0.0,0.0,12.7,22.3,10
TUN,2016-01-14,13,17.1,0.0,0.0,11.1,25.2,78
TUN,2016-01-18,6,9.6,0.0,0.0,15.5,26.6,58
TUN,2016-01-18,8,9.9,0.0,0.0,10.5,24.8,59
TUN,2016-01-19,12,13.6,0.0,0.0,26.1,43.6,30
TUN,2016-01-21,16,14.9,0.0,0.0,7.8,16.2,61
TUN,2016-01-26,7,6.3,0.0,0.0,5.8,11.2,54
TUN,2016-01-26,18,14.1,0.0,0.0,9.9,14.4,0
TUN,2016-01-26,19,13.3,0.0,0.0,10.2,15.1,0
TUN,2016-01-29,9,10.7,0.0,0.0,4.4,12.6,100
TUN,2016-01-31,10,14.2,0.0,0.0,14.6,26.3,23
TUN,2016-02-04,11,13.0,0.0,0.0,35.1,62.6,29
TUN,2016-02-10,8,14.5,0.0,0.0,13.5,24.1,95
TUN,2016-02-11,4,13.3,0.0,0.0,15.2,21.2,30
TUN,2016-02-17,12,14.3,0.0,0.0,20.4,40.0,93
TUN,2016-02-17,14,14.0,0.0,0.0,22.2,42.1,73
TUN,2016-02-17,16,13.5,0.1,0.0,23.4,43.9,37
TUN,2016-02-18,19,12.8,0.0,0.0,12.5,18.4,0
TUN,2016-02-19,21,12.5,0.0,0.0,7.8,13.3,0
TUN,2016-02-22,12,19.0,0.0,0.0,7.7,16.9,98
TUN,2016-02-26,21,13.2,0.0,0.0,12.7,20.9,4
TUN,2016-02-28,13,14.2,0.2,0.0,14.4,32.4,43
TUN,2016-03-05,12,18.7,0.0,0.0,14.9,35.6,65
TUN,2016-04-09,12,15.1,0.0,0.0,26.8,51.5,43
TUN,2016-05-30,11,23.5,0.0,0.0,13.0,29.9,0
TUN,2016-06-03,6,17.7,0.0,0.0,10.0,15.1,26
TUN,2016-06-06,18,23.3,0.0,0.0,10.7,22.7,10
TUN,2016-06-24,11,27.9,0.0,0.0,16.3,37.1,6
TUN,2016-06-24,13,28.7,0.0,0.0,18.2,40.3,2
TUN,2016-06-24,14,28.7,0.0,0.0,19.1,41.0,1
TUN,2016-06-24,12,28.4,0.0,0.0,17.4,39.2,3
TUN,2016-06-27,8,26.0,0.0,0.0,12.2,21.6,27
TUN,2016-06-30,8,25.1,0.0,0.0,19.3,34.9,34
TUN,2016-06-30,13,32.5,0.0,0.0,20.3,44.3,8
TUN,2016-06-30,10,29.3,0.0,0.0,18.2,36.4,40
TUN,2016-07-02,3,21.2,0.0,0.0,5.3,10.8,2
TUN,2016-07-02,7,22.9,0.0,0.0,7.6,22.0,5
TUN,2016-07-24,13,28.8,0.0,0.0,13.4,28.8,12
TUN,2016-07-25,12,29.2,0.0,0.0,20.4,40.0,3
TUN,2016-07-26,7,23.4,0.0,0.0,21.1,32.8,23
TUN,2016-07-26,8,24.7,0.0,0.0,20.1,38.5,16
TUN,2016-07-30,13,30.0,0.0,0.0,10.8,26.3,0
