airport,month,band,prob,label,wx_wind_gust,wx_precip,wx_snow,wx_adverse
MRS,2,severe,0.0931,Drizzle + strong wind,66.2,0.1,0.0,1
MRS,3,calm,0.6039,Partly cloudy,22.0,0.0,0.0,0
MRS,3,rough,0.297,Strong wind,51.1,0.0,0.0,1
MRS,3,severe,0.099,Gale-force wind,72.7,0.0,0.0,1
MRS,4,calm,0.5931,Overcast,24.8,0.0,0.0,0
MRS,4,rough,0.3222,Strong wind,51.5,0.0,0.0,1
MRS,4,severe,0.0847,Gale-force wind,69.8,0.0,0.0,1
MRS,5,calm,0.647,Clear,23.0,0.0,0.0,0
MRS,5,rough,0.2854,Strong wind,50.0,0.0,0.0,1
MRS,5,severe,0.0677,Gale-force wind,69.5,0.0,0.0,1
MRS,6,calm,0.7463,Partly cloudy,24.5,0.0,0.0,0
MRS,6,rough,0.2134,Drizzle,20.9,0.7,0.0,1
MRS,6,severe,0.0403,Gale-force wind,70.6,0.0,0.0,1
MRS,7,calm,0.6931,Clear,23.0,0.0,0.0,0
MRS,7,rough,0.2339,Strong wind,47.5,0.0,0.0,1
MRS,7,severe,0.073,Gale-force wind,68.8,0.0,0.0,1
MRS,8,calm,0.7518,Clear,21.6,0.0,0.0,0
MRS,8,rough,0.1756,Strong wind,49.0,0.0,0.0,1
MRS,8,severe,0.0726,Gale-force wind,67.7,0.0,0.0,1
MRS,9,calm,0.7602,Partly cloudy,19.1,0.0,0.0,0
MRS,9,rough,0.1676,Strong wind,49.7,0.0,0.0,1
MRS,9,severe,0.0722,Gale-force wind,69.8,0.0,0.0,1
MRS,10,calm,0.7133,Overcast,19.8,0.0,0.0,0
MRS,10,rough,0.1949,Strong wind,49.7,0.0,0.0,1
MRS,10,severe,0.0918,Gale-force wind,79.2,0.0,0.0,1
MRS,11,calm,0.6394,Drizzle,18.7,0.1,0.0,0
MRS,11,rough,0.2653,Strong wind,52.6,0.0,0.0,1
MRS,11,severe,0.0954,Gale-force wind,77.8,0.0,0.0,1
MRS,12,calm,0.7451,Clear,20.2,0.0,0.0,0
MRS,12,rough,0.1891,Drizzle + strong wind,46.1,0.1,0.0,1
MRS,12,severe,0.0659,Gale-force wind,69.5,0.0,0.0,1
MXP,1,calm,0.9211,Overcast,13.0,0.0,0.0,0
MXP,1,rough,0.073,Drizzle + strong wind,45.0,0.2,0.0,1
MXP,1,severe,0.0058,Gale-force wind,75.2,0.0,0.0,1
MXP,2,calm,0.877,Clear,14.0,0.0,0.0,0
MXP,2,rough,0.123,Light snow,12.6,0.8,0.07,1
